Employee_ID,Name,Department,Salary,Experience,Performance_Score
1,Emp_1,Marketing,82251,6,5
2,Emp_2,Sales,52662,24,3
3,Emp_3,Finance,38392,5,3
4,Emp_4,Sales,60535,20,3
5,Emp_5,Sales,108603,2,2
6,Emp_6,IT,82256,6,5
7,Emp_7,Finance,119135,22,1
8,Emp_8,Finance,65222,11,4
9,Emp_9,Finance,107373,16,1
10,Emp_10,Sales,109575,16,5
11,Emp_11,Marketing,114651,1,4
12,Emp_12,Finance,93335,9,5
13,Emp_13,Sales,40965,6,3
14,Emp_14,IT,54538,16,4
15,Emp_15,Marketing,100592,3,3
16,Emp_16,IT,38110,20,1
17,Emp_17,Marketing,109309,4,1
18,Emp_18,Sales,57266,19,4
19,Emp_19,HR,82992,3,4
20,Emp_20,Marketing,112948,19,5
21,Emp_21,IT,36910,20,5
22,Emp_22,Sales,30206,7,3
23,Emp_23,Marketing,117054,20,4
24,Emp_24,HR,117897,9,1
25,Emp_25,HR,53419,1,5
26,Emp_26,Finance,80636,8,5
27,Emp_27,Finance,80015,7,1
28,Emp_28,IT,84268,18,5
29,Emp_29,Marketing,117939,8,3
30,Emp_30,Marketing,48141,1,4
31,Emp_31,Finance,110356,11,1
32,Emp_32,Marketing,101910,18,4
33,Emp_33,Marketing,86044,23,5
34,Emp_34,HR,97214,10,5
35,Emp_35,Finance,63827,3,1
36,Emp_36,Sales,85820,7,3
37,Emp_37,Finance,92623,16,2
38,Emp_38,Sales,111734,16,1
39,Emp_39,HR,105450,20,2
40,Emp_40,IT,52299,17,2
41,Emp_41,Marketing,73585,2,3
42,Emp_42,HR,94044,1,2
43,Emp_43,Marketing,72557,16,2
44,Emp_44,IT,79080,12,3
45,Emp_45,IT,32693,5,2
46,Emp_46,HR,99163,5,2
47,Emp_47,IT,55939,23,2
48,Emp_48,Sales,78925,9,1
49,Emp_49,IT,72941,9,1
50,Emp_50,Marketing,51834,3,1
51,Emp_51,Marketing,48047,19,3
52,Emp_52,Marketing,56105,16,5
53,Emp_53,Marketing,105766,16,2
54,Emp_54,Sales,45707,3,2
55,Emp_55,Finance,51976,20,3
56,Emp_56,HR,74262,24,2
57,Emp_57,Marketing,53776,22,1
58,Emp_58,IT,60080,24,5
59,Emp_59,Marketing,96842,1,4
60,Emp_60,IT,91373,24,2
61,Emp_61,IT,36776,20,1
62,Emp_62,Marketing,85016,11,4
63,Emp_63,Sales,39474,17,5
64,Emp_64,IT,88053,8,4
65,Emp_65,IT,51959,4,1
66,Emp_66,Marketing,35530,6,4
67,Emp_67,IT,33748,8,3
68,Emp_68,IT,43545,20,4
69,Emp_69,Marketing,96199,3,2
70,Emp_70,Marketing,64766,16,2
71,Emp_71,HR,103530,3,3
72,Emp_72,Sales,91087,18,1
73,Emp_73,Sales,98840,14,2
74,Emp_74,IT,84384,18,5
75,Emp_75,Sales,81005,2,2
76,Emp_76,IT,76576,22,2
77,Emp_77,HR,69353,3,1
78,Emp_78,Marketing,92003,16,4
79,Emp_79,Marketing,113211,9,2
80,Emp_80,Marketing,82733,4,3
81,Emp_81,Sales,95318,1,4
82,Emp_82,HR,119474,4,5
83,Emp_83,Sales,53664,1,1
84,Emp_84,Sales,97172,14,5
85,Emp_85,HR,115616,21,4
86,Emp_86,HR,56736,16,4
87,Emp_87,HR,30854,20,4
88,Emp_88,HR,68623,24,5
89,Emp_89,Marketing,37392,8,4
90,Emp_90,Finance,85680,7,5
91,Emp_91,Finance,76717,3,4
92,Emp_92,HR,117092,17,3
93,Emp_93,Finance,80859,1,4
94,Emp_94,Finance,56309,16,5
95,Emp_95,HR,117455,12,2
96,Emp_96,Finance,93734,19,4
97,Emp_97,Sales,100467,22,2
98,Emp_98,IT,82662,23,3
99,Emp_99,IT,42688,22,1
100,Emp_100,HR,55342,14,3
